exp = schedule-test, execution = 1, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1169490, 
0.001192
exp = schedule-test, execution = 2, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1131487, 
0.001150
exp = schedule-test, execution = 3, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1125186, 
0.001141
exp = schedule-test, execution = 4, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1139087, 
0.001156
exp = schedule-test, execution = 5, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1120686, 
0.001139
exp = schedule-test, execution = 6, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1105285, 
0.001124
exp = schedule-test, execution = 7, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1138587, 
0.001155
exp = schedule-test, execution = 8, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 6271481, 
0.006290
exp = schedule-test, execution = 9, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1161589, 
0.001179
exp = schedule-test, execution = 10, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 16,
version = OMP, num_threads = 16, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1443010, 
0.001523
