exp = schedule-test, execution = 1, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 159812, 
0.000183
exp = schedule-test, execution = 2, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 156412, 
0.000176
exp = schedule-test, execution = 3, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 153312, 
0.000181
exp = schedule-test, execution = 4, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 410931, 
0.000449
exp = schedule-test, execution = 5, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 157812, 
0.000184
exp = schedule-test, execution = 6, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 156112, 
0.000184
exp = schedule-test, execution = 7, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 160713, 
0.000193
exp = schedule-test, execution = 8, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 159312, 
0.000185
exp = schedule-test, execution = 9, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 160012, 
0.000179
exp = schedule-test, execution = 10, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 4,
version = OMP, num_threads = 4, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 163012, 
0.000183
