exp = schedule-test, execution = 1, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 2145865, 
0.002165
exp = schedule-test, execution = 2, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 2166766, 
0.002187
exp = schedule-test, execution = 3, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 2171966, 
0.002190
exp = schedule-test, execution = 4, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 1841941, 
0.001859
exp = schedule-test, execution = 5, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 2251773, 
0.002275
exp = schedule-test, execution = 6, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 2110162, 
0.002131
exp = schedule-test, execution = 7, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 2185668, 
0.002202
exp = schedule-test, execution = 8, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 2000053, 
0.002022
exp = schedule-test, execution = 9, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 5869650, 
0.005896
exp = schedule-test, execution = 10, benchmark = gemm, size_of_data = TINY_DATASET, schedule = , chunk_size = , num_threads = 2,
version = OMP, num_threads = 2, NI = 128, NJ = 128, NK = 128, ORIG = 0, OMP = 3887498, 
0.003911
