exp = schedule-test, execution = 1, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 468036, 
0.000487
exp = schedule-test, execution = 2, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 529340, 
0.000546
exp = schedule-test, execution = 3, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 468636, 
0.000486
exp = schedule-test, execution = 4, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 473436, 
0.000489
exp = schedule-test, execution = 5, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 523440, 
0.000542
exp = schedule-test, execution = 6, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 531641, 
0.000548
exp = schedule-test, execution = 7, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 470836, 
0.000491
exp = schedule-test, execution = 8, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 470736, 
0.000491
exp = schedule-test, execution = 9, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 469136, 
0.000486
exp = schedule-test, execution = 10, benchmark = gemm, size_of_data = MINI_DATASET, schedule = , chunk_size = , num_threads = 1,
version = OMP, num_threads = 1, NI = 64, NJ = 64, NK = 64, ORIG = 0, OMP = 472037, 
0.000487
