Experiment 'schedule-test', execution 1 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:16
Experiment 'schedule-test', execution 2 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:18
Experiment 'schedule-test', execution 3 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:19
Experiment 'schedule-test', execution 4 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:21
Experiment 'schedule-test', execution 5 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:22
Experiment 'schedule-test', execution 6 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:24
Experiment 'schedule-test', execution 7 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:25
Experiment 'schedule-test', execution 8 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:27
Experiment 'schedule-test', execution 9 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:28
Experiment 'schedule-test', execution 10 of gemm with dataset: STANDARD_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 29/10/2020-03:45:30
