Experiment 'schedule-test', execution 1 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:47
Experiment 'schedule-test', execution 2 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:48
Experiment 'schedule-test', execution 3 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:50
Experiment 'schedule-test', execution 4 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:51
Experiment 'schedule-test', execution 5 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:53
Experiment 'schedule-test', execution 6 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:54
Experiment 'schedule-test', execution 7 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:56
Experiment 'schedule-test', execution 8 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:57
Experiment 'schedule-test', execution 9 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:47:59
Experiment 'schedule-test', execution 10 of gemm with dataset: STANDARD_DATASET, schedule: GUIDED, chunk_size: 32, threads: 8 start at 29/10/2020-03:48:00
