Experiment 'schedule-test', execution 1 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:37:58
Experiment 'schedule-test', execution 2 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:00
Experiment 'schedule-test', execution 3 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:02
Experiment 'schedule-test', execution 4 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:04
Experiment 'schedule-test', execution 5 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:06
Experiment 'schedule-test', execution 6 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:08
Experiment 'schedule-test', execution 7 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:10
Experiment 'schedule-test', execution 8 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:12
Experiment 'schedule-test', execution 9 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:14
Experiment 'schedule-test', execution 10 of gemm with dataset: STANDARD_DATASET, schedule: DYNAMIC, chunk_size: 16, threads: 2 start at 29/10/2020-03:38:16
